微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwoQQ0uiF,【用卷积网络将2D照片转换成3D】《Powered by AI: Turning any 2D photo into 3D using convolutional neural nets》 http://t.cn/A67tCIgp  [组图共6张] 原图 ,,无,无,无,2020-02-29 08:26,Mac客户端,45,59,12
IwowYmN4B,【Mesh-TensorFlow超高分辨率图像分析】《Ultra-High Resolution Image Analysis with Mesh-TensorFlow | Google AI Blog》 http://t.cn/A67t6JVk paper:《High Resolution Medical Image Analysis with Spatial Partitioning》http://t.cn/A67t6JVr  [组图共4张] 原图 ,,无,无,无,2020-02-29 07:37,Mac客户端,23,26,8
IwnXx8upv,"【贝叶斯规则因果推理】《Causal Inference with Bayes Rule》by Finn Lattimore, David Rohde http://t.cn/A67tbArj  [组图共5张] 原图 ",,无,无,无,2020-02-29 06:09,Mac客户端,54,72,15
IwnMwbOiX,"《Bridging the Gap between Spatial and Spectral Domains: A Survey on Graph Neural Networks》Z Chen, F Chen, L Zhang, T Ji, K Fu, L Zhao, F Chen, C Lu [Virginia Tech & George Mason University & University of Taxes at Dallas] (2020) http://t.cn/A67tLlK7 view:http://t.cn/A67tLlKL  [组图共4张] 原图 ",,无,无,无,2020-02-29 05:42,微博 weibo.com,36,43,7
IwnLXljL3,"《Domain Decluttering: Simplifying Images to Mitigate Synthetic-Real Domain Shift and Improve Depth Estimation》Y Zhao, S Kong, D Shin, C Fowlkes [UC Irvine & CMU] (2020) http://t.cn/A67tLXlY view:http://t.cn/A67tLXll GitHub:http://t.cn/A67tLXlO  [组图共18张] 原图 ",,无,无,无,2020-02-29 05:41,微博 weibo.com,19,13,6
IwnIl6bHl,"《Few-shot Natural Language Generation for Task-Oriented Dialog》B Peng, C Zhu, C Li, X Li, J Li, M Zeng, J Gao [Microsoft Research] (2020) http://t.cn/A67t2a1P view:http://t.cn/A67t2a1v  [组图共12张] 原图 ",,无,无,无,2020-02-29 05:32,微博 weibo.com,26,27,5
IwnEo6M6T,"《Learning Representations by Predicting Bags of Visual Words》S Gidaris, A Bursuc, N Komodakis, P Pérez, M Cord [Valeo.ai & University of Crete] (2020) http://t.cn/A67tAJdH view:http://t.cn/A67tAJdR  [组图共16张] 原图 ",,无,无,无,2020-02-29 05:22,微博 weibo.com,16,29,7
IwnDtmA28,"*《Learning to Shade Hand-drawn Sketches》Q Zheng, Z Li, A Bargteil [University of Maryland & Project HAT] (2020) http://t.cn/A67tAzQZ view:http://t.cn/A67tAzQz  [组图共14张] 原图 ",,无,无,无,2020-02-29 05:20,微博 weibo.com,11,28,1
IwnwOAXpB,《今日学术视野(2020.2.29)》http://t.cn/A67tzsTV  ,,无,无,无,2020-02-29 05:03,Mac客户端,3,0,1
IwnuYconG,早！  原图 ,,无,无,无,2020-02-29 04:59,Mac客户端,23,7,5
IwkCf0ZTb,晚安~   爱可可-爱生活的微博视频  ,,无,无,无,2020-02-28 21:39,微博视频,25,4,3
IwkBPwrZu,《爱可可老师24小时热门分享(2020.2.28)》  爱可可老师24小时热门分享(2020.2.28)  ,,无,无,无,2020-02-28 21:38,微博 weibo.com,2,3,1
Iwku2pLw3,是时候复盘一下，昨天录课的过程，教训太多了！别以为提前四五天开始准备，各种头脑风暴兴冲冲美滋滋，到最后两天能从容不迫，一样忙忙叨叨到最后一刻！别以为最后两天安排的一天录课、一天后期，就真能实现，到头来录都录不完！别以为前面兴致勃勃东翻西翻、囤那么多视频素材，最后就真能用得上，录都没录完素材根本没时间玩！别以为想找个安静的录课环境那么容易，家里有个热情的小朋友不全程在旁边“加油”就偷着乐吧！别以为啥都想好了，PPT就能信手拈来，想搞出点意思一页就要一小时！别以为自己能白活就能“一镜到底”，别太相信没插电的笔记本电池，录一个多小时自动关机啥都没剩，绝对欲哭无泪！别以为电池没电了、插上电就行，水果笔记本插电还要再等半个多小时才能开机，哭！别以为一咬牙、省了后期，时间就能富裕，啥都没干，把片段拼起来去去打喷嚏、小孩叫、肚子咕噜声，最后编码输出还要一小时！别以为视频生成了就万事无忧，传到B站等审核也能让你崩溃，7点多传了11点多才通过，十点睡觉都战战兢兢！别以为手握正版FC就无敌，真搞起来笔记本那块小硬盘剩多少空间都不够，今儿发现有个手机端的视频编辑器看似不错，下次换了试试！好吧，不说了，默默准备提前录下一期了，说啥也要提前几天搞定，为了最后几天能好好活着~ 😂 ,,无,无,无,2020-02-28 21:18,Mac客户端,76,14,14
Iwkc7EPB2,完成这个功能要多少天？ 程序员: n+1天 via:I Am Devloper  ,,无,无,无,2020-02-28 20:34,Mac客户端,16,0,2
Iwk5CCnEM,BionicOpter：自由飞行的机器蜻蜓  🤖  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-28 20:18,微博视频,60,36,7
Iwk2YiAVg,Marco Grassi的超级现实主义绘画 🤩  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-28 20:12,微博视频,169,19,6
IwjNKcNnu,"【tiny-tensorrt：高效易用的nvidia TensorRT封装,支持c++,python调用,支持caffe,onnx,tensorflow模型】'tiny-tensorrt - a simple, efficient, easy-to-use nvidia TensorRT wrapper for cnn,sopport c++ and python' by Ren Zeng GitHub: http://t.cn/A67qbLEq  原图 ",,无,无,无,2020-02-28 19:34,Mac客户端,30,62,9
IwjJPBdri,"【InteractiveGraph：图谱数据交互可视化】’InteractiveGraph - provides a web-based interactive operating framwork for large graph data, which may come from a GSON file, or an online Neo4j graph database' by grapheco GitHub: http://t.cn/Ex8P073  [组图共3张] 原图 ",,无,无,无,2020-02-28 19:25,Mac客户端,23,45,10
IwjFLzlx0,【JupyterLab扩展开发实例教程】’JupyterLab Extensions by Examples' by Jeremy Tuloup GitHub: http://t.cn/A67q2rK4  [组图共6张] 原图 ,,无,无,无,2020-02-28 19:15,Mac客户端,14,20,9
IwjCJ3ENy,'用unet实现对文档表格的自动检测，表格重建' by chineseocr GitHub: http://t.cn/A67qALQg  [组图共3张] 原图 ,,无,无,无,2020-02-28 19:07,Mac客户端,66,91,33
IwjyPBGBe,【MathJax：在浏览器里显示复杂公式】’MathJax (Source Repository) - MathJax source code for version 3 and beyond' GitHub: http://t.cn/A67qzDbg  原图 ,,无,无,无,2020-02-28 18:57,Mac客户端,23,33,8
IwiamwiMy,【HTTP Core：(Python)最小化底层HTTP客户端库】’HTTP Core - A minimal HTTP client.  ' http://t.cn/A67GUxcS GitHub: http://t.cn/A67GUxc6  原图 ,,无,无,无,2020-02-28 15:24,Mac客户端,11,11,5
Iwfx3bkjU,#转发赠书# 携手 @爱心树童书 送出5本《DK编程真好玩：9岁开始学Python》 截至2020.3.7 12:00 *可可粉*转发即可参与 带孩子接触真实的编程世界，通过制作好玩的游戏和应用程序，培养孩子的思考力、创造力和解决问题的能力。书中操作易于理解，步骤详细，适合有一定图形化编程基础的孩子 详情: http://t.cn/AienZYgp @微博抽奖平台 http://t.cn/A674dIji [组图共6张] 原图 ,,无,无,无,2020-02-28 08:42,Mac客户端,30,120,34
Iwft6veSS,另一种新颖的教科书公式：除了公式，还给出对应的实现代码，所谓的“可复现”公式 👍  via:Jeremy Howard  原图 ,,无,无,无,2020-02-28 08:32,Mac客户端,158,82,16
Iwflx0UBr,这才像个教科书公式的样子 👍  - 《A Student's Guide to Maxwell's Equations》by Daniel Fleisch  [组图共2张] 原图 ,,无,无,无,2020-02-28 08:14,Mac客户端,105,77,18
IwfhnCTz1,【自适应稀疏注意模型可视化(Colab Notebook)】“Visualizing Adaptive Sparse Attention Models” http://t.cn/A674njIX  [组图共3张] 原图 ,,无,无,无,2020-02-28 08:03,Mac客户端,16,18,2
IweJgvqja,【RoboTurk：基于人类推理和熟练性的机器人操作数据集】“RoboTurk: A System for Large-Scale Teleoperation of Robots(Robotic Manipulation Dataset through Human Reasoning and Dexterity) | Stanford”  http://t.cn/A674pdiz  [组图共3张] 原图 ,,无,无,无,2020-02-28 06:39,Mac客户端,5,7,1
IweGr0yws,【用于计算机视觉应用/测试的数据库/数据集与相关资源(会议、代码、研究组等)大列表】“Databases or Datasets for Computer Vision Applications and Testing” http://t.cn/A674NB7i  原图 ,,无,无,无,2020-02-28 06:32,Mac客户端,27,40,11
IweFqCvpR,【科普文：情感分析纵览】《New horizons in sentiment analysis research | Naver Labs Europe》by Caroline Brun http://t.cn/A674NK6U  [组图共3张] 原图 ,,无,无,无,2020-02-28 06:30,Mac客户端,15,23,3
IweEgvJ0x,【Poincaré映射：用双曲嵌入理解细胞发育】《Poincaré maps: Hyperbolic embeddings to understand how cells develop | Facebook AI》 http://t.cn/A674NAWV paper:《Poincaré Maps for Analyzing Complex Hierarchies in Single-Cell Data》http://t.cn/A674NAWf GitHub:http://t.cn/A674NAWt  [组图共2张] 原图 ,,无,无,无,2020-02-28 06:27,Mac客户端,9,10,3
Iwelq8SQo,"《CausalML: Python Package for Causal Machine Learning》H Chen, T Harinen, J Lee, M Yung, Z Zhao [Uber] (2020) http://t.cn/A674Szcv view:http://t.cn/A674SzcP  [组图共3张] 原图 ",,无,无,无,2020-02-28 05:41,微博 weibo.com,20,40,10
IwekVoZU8,"《An Information Diffusion Approach to Rumor Propagation and Identification on Twitter》A Osho, C Waters, G Amariucai [Kansas State University] (2020) http://t.cn/A674agmI view:http://t.cn/A674agmx  [组图共10张] 原图 ",,无,无,无,2020-02-28 05:39,微博 weibo.com,6,13,2
Iwekpdh6H,"《Rethinking Bias-Variance Trade-off for Generalization of Neural Networks》Z Yang, Y Yu, C You, J Steinhardt, Y Ma [UC Berkeley] (2020) http://t.cn/A674aRiu view:http://t.cn/A674aRim  [组图共18张] 原图 ",,无,无,无,2020-02-28 05:38,微博 weibo.com,73,362,25
IwejwuA7I,"《The role of regularization in classification of high-dimensional noisy Gaussian mixture》F Mignacco, F Krzakala, Y M. Lu, L Zdeborová [Universite Paris-Saclay & Universite PSL & Harvard University] (2020) http://t.cn/A674aaQL view:http://t.cn/A674aaQz  [组图共8张] 原图 ",,无,无,无,2020-02-28 05:36,微博 weibo.com,7,18,0
IweiP6K9u,"《Sim2Real Transfer for Reinforcement Learning without Dynamics Randomization》M Kaspar, J D M Osorio, J Bock [Corporate Research KUKA Deutschland GmbH Augsburg] (2020) http://t.cn/A674ab6y view:http://t.cn/A674ab6A  [组图共8张] 原图 ",,无,无,无,2020-02-28 05:34,微博 weibo.com,11,7,1
Iweh438Cp,《A short note on learning discrete distributions》C L. Canonne (2020) http://t.cn/A674XpRE view:http://t.cn/A674XpR8 GitHub:http://t.cn/A674XpRm  [组图共2张] 原图 ,,无,无,无,2020-02-28 05:30,微博 weibo.com,19,32,6
Iwegk0idY,"《Compact Representation of Uncertainty in Hierarchical Clustering》C S. Greenberg, S Macaluso, N Monath, J Lee, P Flaherty, K Cranmer, A McGregor, A McCallum [University of Massachusetts Amherst & New York University] (2020) http://t.cn/A672rp7f view:http://t.cn/A674XcMj  [组图共9张] 原图 ",,无,无,无,2020-02-28 05:28,微博 weibo.com,7,16,0
IweeSrk08,"《Understanding Self-Training for Gradual Domain Adaptation》A Kumar, T Ma, P Liang [Stanford University] (2020) http://t.cn/A6746nPZ view:http://t.cn/A6746nvD GitHub:http://t.cn/A6746nP7  [组图共9张] 原图 ",,无,无,无,2020-02-28 05:25,微博 weibo.com,8,16,0
IwecqvZG9,"*《BlockGAN: Learning 3D Object-aware Scene Representations from Unlabelled Images》T Nguyen-Phuoc, C Richardt, L Mai, Y Yang, N Mitra [University of Bath & Adobe Research] (2020) http://t.cn/A6hkXDtF view:http://t.cn/A6hFejuG  [组图共18张] 原图 ",,无,无,无,2020-02-28 05:18,微博 weibo.com,9,18,2
Iwe8nDrhr,《今日学术视野(2020.2.28)》http://t.cn/A674J1TI  ,,无,无,无,2020-02-28 05:09,Mac客户端,0,0,0
Iwe7juUaz,早！  原图 ,,无,无,无,2020-02-28 05:06,Mac客户端,20,6,4
IwbfjpGiT,晚安~   爱可可-爱生活的微博视频  ,,无,无,无,2020-02-27 21:47,微博视频,61,24,9
Iwbeu1mgP,《爱可可老师24小时热门分享(2020.2.27)》  爱可可老师24小时热门分享(2020.2.27)  ,,无,无,无,2020-02-27 21:45,微博 weibo.com,7,4,1
Iwb1WgIOI,代码注释   [组图共2张] 原图 ,,无,无,无,2020-02-27 21:14,Mac客户端,110,25,6
IwaSNwfwD,  原图 ,,无,无,无,2020-02-27 20:52,Mac客户端,38,4,3
IwaSC1iYI,"实现它们要多少行代码: * 阿波罗11号 - 145,000 * 火星好奇号探测器 -2,500,000 * 大型强子对撞机 - 50,000,000 * 无人驾驶汽车 - 300,000,000 * 一张matplotlib图表 - 5,122,051,566,000,000,000,000via:Pranay Pathole  ",,无,无,无,2020-02-27 20:51,Mac客户端,73,32,8
IwaPFo7fZ,欢迎光临机器人暗网~ 🤖😝  原图 ,,无,无,无,2020-02-27 20:44,Mac客户端,79,40,6
IwaL0odGj,【NLP事件提取文献资源列表】’Event Extraction papers - A list of NLP resources focused on event extraction task' by BaB GitHub: http://t.cn/A67ydWUI  原图 ,,无,无,无,2020-02-27 20:33,Mac客户端,22,48,10
IwaEDB75O,"【AkShare：Python金融数据接口库】’AkShare is an elegant and simple financial data downloader library for Python, built for human beings!' by Albert King GitHub: http://t.cn/A67y3d6w  原图 ",,无,无,无,2020-02-27 20:17,Mac客户端,64,108,26
Iwa7qnkVV,'CVPR 2020 论文开源项目合集' by Amusi GitHub: http://t.cn/A67zg5px  原图 ,,无,无,无,2020-02-27 18:55,Mac客户端,107,169,35
Iwa06r8VR,【Microsoft开源的TensorFlow2图神经网络库】’Graph Neural Networks in TF2 - TensorFlow 2 library implementing Graph Neural Networks' by Microsoft GitHub: http://t.cn/A67yXxWc  原图 ,,无,无,无,2020-02-27 18:37,Mac客户端,31,57,13
Iw5WG5qUE,PolyGen：3D网格生成模型  paper:《PolyGen: An Autoregressive Generative Model of 3D Meshes》http://weibo.com/1402400261/Iw4OUnaou  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-27 08:18,微博视频,35,29,1
Iw5SMlNiz,GitHub的新玩法：多行建议(multi-line suggestions) via:Nat Friedman  原图 ,,无,无,无,2020-02-27 08:08,Mac客户端,38,18,4
Iw5AFtLJ1,【史密森尼(美国博物馆)开放280万张高分辨率2D/3D图像数据：“我们无法想象人们将如何使用这些藏品，我们准备好大吃一惊了。”】《Smithsonian Releases 2.8 Million Images Into Public Domain》http://t.cn/A67AjRbx Open Access：http://t.cn/A67ZHbox  [组图共3张] 原图 ,,无,无,无,2020-02-27 07:23,Mac客户端,42,83,6
Iw5sSERQH,《Enhancing the Research Community’s Access to Street View Panoramas for Language Grounding Tasks | Google AI Blog》 http://t.cn/A67AWoD7 paper:《Retouchdown: Adding Touchdown to StreetLearn as a Shareable Resource for Language Grounding Tasks in Street View》http://t.cn/A67AWoeD [组图共3张] 原图 ,,无,无,无,2020-02-27 07:04,Mac客户端,8,4,1
Iw5oI8CpB,【Open Images V6最新发布：以局部化叙事为特色】《Open Images V6 — Now Featuring Localized Narratives | Google AI Blog》 http://t.cn/A67AO9xU Open Images V6：http://t.cn/RuWvlzH  [组图共8张] 原图 ,,无,无,无,2020-02-27 06:54,Mac客户端,14,26,4
Iw57cdcvg,"《Multivariate time-series modeling with generative neural networks》M Hofert, A Prasad, M Zhu [University of Waterloo] (2020) http://t.cn/A67A9nQp view:http://t.cn/A67A9nQ0  [组图共7张] 原图 ",,无,无,无,2020-02-27 06:11,微博 weibo.com,18,30,4
Iw55VgW2N,"《Scheduled Restart Momentum for Accelerated Stochastic Gradient Descent》B Wang, T M. Nguyen, A L. Bertozzi, R G. Baraniuk, S J. Osher [University of California, Los Angeles & Rice University] (2020) http://t.cn/A67A900X view:http://t.cn/A67A900S GitHub:http://t.cn/A67A900o  [组图共18张] 原图 ",,无,无,无,2020-02-27 06:08,微博 weibo.com,11,19,3
Iw53qaxxL,"《A General Method for Robust Learning from Batches》A Jain, A Orlitsky [University of California, San Diego] (2020) http://t.cn/A67A94uN view:http://t.cn/A67A94uC  [组图共2张] 原图 ",,无,无,无,2020-02-27 06:02,微博 weibo.com,4,8,1
Iw4ZSkWpb,"《Neural Networks are Convex Regularizers: Exact Polynomial-time Convex Optimization Formulations for Two-Layer Networks》M Pilanci, T Ergen [Stanford University] (2020) http://t.cn/A67AKYji view:http://t.cn/A67AKYjx  [组图共15张] 原图 ",,无,无,无,2020-02-27 05:53,微博 weibo.com,14,14,4
Iw4YQvqbM,"《The Curious Case of Adversarially Robust Models: More Data Can Help, Double Descend, or Hurt Generalization》Y Min, L Chen, A Karbasi [Yale University] (2020) http://t.cn/A67AKXBK view:http://t.cn/A67AKXB9  [组图共6张] 原图 ",,无,无,无,2020-02-27 05:50,微博 weibo.com,3,5,0
Iw4Y7A8Fz,"《Continuous-time multi-state capture-recapture models》S Mews, R Langrock, R King, N Quick [Bielefeld University & University of Edinburgh & University of St Andrews] (2020) http://t.cn/A67AK5aJ view:http://t.cn/A67AK5ai  [组图共9张] 原图 ",,无,无,无,2020-02-27 05:49,微博 weibo.com,4,9,2
Iw4XhgTKs,"《MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers》W Wang, F Wei, L Dong, H Bao, N Yang, M Zhou [Microsoft Research] (2020) http://t.cn/A67AKPYB view:http://t.cn/A67AKPYu  [组图共16张] 原图 ",,无,无,无,2020-02-27 05:46,微博 weibo.com,16,45,11
Iw4VijWiC,"*《Human-centered Explainable AI: Towards a Reflective Sociotechnical Approach》U Ehsan, M O. Riedl [Georgia Institute of Technology] (2020) http://t.cn/A67AoiEu view:http://t.cn/A67AoiE3  [组图共11张] 原图 ",,无,无,无,2020-02-27 05:42,微博 weibo.com,14,15,1
Iw4Uj8QQe,"*《Freeze Discriminator: A Simple Baseline for Fine-tuning GANs》S Mo, M Cho, J Shin [KAIST & POSTECH] (2020) http://t.cn/A67AoZVf view:http://t.cn/A67AoZVx GitHub: http://t.cn/A67zBX44  [组图共14张] 原图 ",,无,无,无,2020-02-27 05:39,微博 weibo.com,17,17,3
Iw4SWkm3S,"*《Rewriting History with Inverse RL: Hindsight Inference for Policy Improvement》B Eysenbach, X Geng, S Levine, R Salakhutdinov [CMU & UC Berkeley & Google Brain] (2020) http://t.cn/A67AS05o view:http://t.cn/A67AS05K  [组图共11张] 原图 ",,无,无,无,2020-02-27 05:36,微博 weibo.com,10,11,2
Iw4OUnaou,"*《PolyGen: An Autoregressive Generative Model of 3D Meshes》C Nash, Y Ganin, S. M. A Eslami, P W. Battaglia [DeepMind] (2020) http://t.cn/A67AapMn view:http://t.cn/A67AapMu  [组图共18张] 原图 ",,无,无,无,2020-02-27 05:26,微博 weibo.com,12,18,4
Iw4Fcbi5T,《今日学术视野(2020.2.27)》http://t.cn/A67A6yhB  ,,无,无,无,2020-02-27 05:02,Mac客户端,3,0,0
Iw4Dhneo9,早！  原图 ,,无,无,无,2020-02-27 04:57,Mac客户端,21,1,1
Iw1StxzCk,晚安~   爱可可-爱生活的微博视频  ,,无,无,无,2020-02-26 21:56,微博视频,67,16,10
Iw1SaBjIi,《爱可可老师24小时热门分享(2020.2.26)》  爱可可老师24小时热门分享(2020.2.26)  ,,无,无,无,2020-02-26 21:56,微博 weibo.com,9,3,2
Iw12ncT5X,AI，你怎么看？  原图 ,,无,无,无,2020-02-26 19:48,Mac客户端,32,9,14
Iw0U56j8D,看某些同学毕业论文标题的感觉……  原图 ,,无,无,无,2020-02-26 19:28,Mac客户端,311,117,45
Iw0Nf3ePQ,Suhail：我敢肯定，创业公司和大公司之间的最大区别在于，在创业公司，如果一周内没推出什么有意义的东西，人们会感到焦虑；在大公司，半年以上的项目没任何产出，完全是可以接受的。在创业公司这是不可能的。  ,,无,无,无,2020-02-26 19:11,Mac客户端,46,12,8
Iw0LfvjMz,尺度 🤩 via:Domenico Calia  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-26 19:06,微博视频,32,18,3
Iw0FKu2mU,现代艺术 via:Callen Schaub  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-26 18:52,微博视频,24,5,13
Iw0Ffddh3,一种微小的缓步类动物，正在海藻中“漫步” via:Sinclair Stammers  爱可可-爱生活的微博视频  ,,无,无,无,2020-02-26 18:51,微博视频,15,1,3
IvZc0BciJ,【金融领域自然语言处理研究资源大列表】’awesome-financial-nlp - Researches for Natural Language Processing for Financial Domain' by Takahiro Kubo GitHub: http://t.cn/A67zu3Dl  原图 ,,无,无,无,2020-02-26 15:06,Mac客户端,67,91,23
IvZ8YD8t3,'CLUE Emotion Analysis Dataset 细粒度情感分析数据集' by CLUEbenchmark GitHub: http://t.cn/A67znarl  原图 ,,无,无,无,2020-02-26 14:59,Mac客户端,16,35,5
IvZ8Ccbq7,'轻量级cpu版实时口罩检测' GitHub: http://t.cn/A67znUGH  原图 ,,无,无,无,2020-02-26 14:58,Mac客户端,62,52,25
IvYYbnqfc,【Seafile：具有隐私保护和团队协作功能的开源云存储系统】'Seafile: an open source cloud storage system with privacy protection and teamwork features' by haiwen GitHub: http://t.cn/zW9CemB  原图 ,,无,无,无,2020-02-26 14:32,Mac客户端,14,18,4
IvYSArnz7,'LeetCode、剑指Offer刷题笔记（C/C++、Python3实现）' by Jack Cui GitHub: http://t.cn/A67zWy94  原图 ,,无,无,无,2020-02-26 14:18,Mac客户端,177,264,73
IvYRVnlLL,'pear，梨子，轻量级的在线项目/任务协作系统，远程办公协作' by vilson GitHub: http://t.cn/A67zOTrb  [组图共3张] 原图 ,,无,无,无,2020-02-26 14:17,Mac客户端,26,64,14
IvYMt4SBQ,【法务智能文献资源列表】’Must-read Papers on Legal Intelligence' by THUNLP GitHub: http://t.cn/A67zNzlL  原图 ,,无,无,无,2020-02-26 14:03,Mac客户端,14,25,9
IvYC88XeR,'Waking-Up - 计算机基础（计算机网络/操作系统/数据库/Git...）面试问题全面总结' by wolverinn GitHub: http://t.cn/AisqNd9B  原图 ,,无,无,无,2020-02-26 13:38,Mac客户端,55,103,40
IvYAL1TTy,【Newscatcher：Python新闻网站通用爬虫】’Newscatcher - Programmatically collect normalized news from (almost) any website.' by kotartemiy GitHub: http://t.cn/A67zao7t  原图 ,,无,无,无,2020-02-26 13:34,Mac客户端,27,33,12
IvYqlkO3S,'labuladong 的算法小抄，总结各种常考算法的套路，助力刷题面试' by labuladong GitHub: http://t.cn/A67zJ5Nc  原图 ,,无,无,无,2020-02-26 13:09,Mac客户端,202,332,72
